,rating,comment,date
27,10,"빠른배송 감사합니다 ~ 포장 good 배송 good 전체 물품 담는 포장지도 환경 생각해서 재활용 리백에 안전하게 포장배달해주시고, 역시믿고 주문하는 ssg 이마트 덕분에 필요한 물품과 신선한 식료품을 당일 원하는 시간에 언제나 쑥배송 덕분에 빠른배송 도움받아서 문앞까지 안전하게 배송해주셔서 늘 감동입니다.",2023-12-21
28,10,항상 주문했는데 맛있어요!,2025-01-23
29,10,편하게배송받아서 좋아요,2025-01-23
30,10,매콤 얼큰하고 맛있어요,2025-01-22
31,10,"라면은 역시 신라면입니다
여러개사니 세일이더많네요",2025-01-22
32,10,좋아요 좋아요 좋아요,2025-01-22
33,10,항상 구매하는 제품,2025-01-22
34,10,다구매상품좋아요신라면,2025-01-22
35,10,"말해 뭐하나요~
매운맛의 기준이 되어버린 신라면이잖아요 ^^",2025-01-22
36,10,요즘신라면이 맛이별루이긴한데 기본맛이라 같이주문해봤어요.,2025-01-21
37,10,"잘받았습니다..
즐거운 하루되세요..",2025-01-21
38,10,질리지 않고 간편하게 끼니를 해결할 수 있어요.,2025-01-21
39,10,맛있어요. 잘먹을게요.,2025-01-21
40,10,안전하게 잘 받았습니다.,2025-01-21
41,10,"자주 먹는 제품이여요 
맛나요~~~",2025-01-21
42,10,오랜만에 구매하는데  배송도 빠르고 상품도 아주 마음에 들어요!,2025-01-21
43,10,"항상 구매하는 제품입니다. 
다른 제품과 비교할 수 없죠.
까다로운  남편도 아주 만족해 합니다.
계속해서 이 제품을 구매할 생각입니다.
계속해서 좋은 제품 유지해주세요~
아주 만족합니다.",2025-01-21
44,10,항상 주문하는 상품입니다,2025-01-21
45,10,맛있는데 이제 건면으로,2025-01-21
46,10,추울땐 신라면 이 쵝오죵,2025-01-21
47,10,항상 구매하는 제품이에요.,2025-01-21
48,10,늘구매하는 신라면입니다,2025-01-20
49,10,역시 신라면 최고!!!,2025-01-20
50,10,밀할 필요 없죠~ 그저 세일만 자주해주면 좋을듯요,2025-01-20
51,10,"라면은 농심, 신라면",2025-01-20
52,10,신라면이랑 비빔면 두개 사서 할인 받아서 구매해서 좋네요 ㅎㅎ,2025-01-20
53,10,모든 라면 중 신라면을 제일 사랑합니다^^,2025-01-20
54,10,유통기한 5월까지 넉넉하네요.,2025-01-20
55,10,집에 신라면 봉지라면은 항상 비상으로 냅둡니다ㅋ,2025-01-20
56,10,라면은  신라면 좋아요,2025-01-20
57,10,신라면 맛있어요 잘먹을께요,2025-01-20
58,10,라면은 신라면이 짱,2025-01-20
59,10,"없으면 아쉬운 라면
저렴하게 잘 샀어요.",2025-01-19
60,10,라면은 신라면 맛있어요,2025-01-19
61,10,주문할 때마다 항상 주문합니다,2025-01-19
62,10,항상구매하는품목이죠,2025-01-19
63,10,즐기는 제품을 쓱배송으로 편하게 주문해서 만족해요.,2025-01-19
64,10,"라면종류별로구비해둡니다
그때그때마다 땡기는라면 킵",2025-01-19
65,10,배송도 빠르고 좋아요,2025-01-19
66,10,할인받고 저렴하게 구매했어요,2025-01-19
67,10,컵라면만 먹다가 먹고 싶어서,2025-01-19
68,10,상품 잘 받았습니다,2025-01-19
69,10,행사로 잘 구매했어요,2025-01-19
70,10,신라면이 얼큰하고 정말 맛있어요,2025-01-18
71,10,신라면이 정말 맛있어요,2025-01-18
72,10,맛있어요 얼큰한거 먹고 싶을 때 신라면이 최고요,2025-01-18
73,10,라면 거의 안 먹는데 필요할때가 있어 준비했어요. 약속한 시간에 잘 도착했어요.,2025-01-18
74,10,신랑의 최애 라면..맛있어요~,2025-01-18
75,10,잘받았습니다 언제나맛남,2025-01-18
76,10,요즘라면값 장난아닌데 저렴하게 잘샀어요^^,2025-01-18
77,10,라면은 신라면이죠 남편은 신라면만 먹어요,2025-01-18
78,10,"라면의 기본
뭘 넣어도 베스트",2025-01-18
79,10,필수 구매 품목이죠 ㅎ,2025-01-17
80,10,라면좋아하는 남편이 요즘 신라면만 찾네요....,2025-01-17
81,10,없으면 안돼요 필수품ㅋ,2025-01-17
82,10,맛있어요 좋아요~~,2025-01-16
83,10,유통기한 넉넉하고 집에 없음 앙돼요~,2025-01-16
84,10,맛있게 잘 먹겠습니다 ,2025-01-16
85,10,겉포장 비닐이 많이 얇아진 것 같아서 좋네요 ㅎㅎ,2025-01-16
86,10,신라면은 언제나 맛있어요.   자주 구매래해요. .,2025-01-16
87,10,맛있게 잘 먹었습니다,2025-01-16
88,10,라면의 진리 신라면,2025-01-15
89,10,좋은상품저렴히구입했습니다,2025-01-15
90,10,라면은 신라면이 질리지않고맛있어요,2025-01-15
91,10,부서지지 않고 배송 잘받았어요,2025-01-15
92,10,신라면 기본라면으로 먹어요 아이가 좋아해요,2025-01-15
93,10,가장 좋아하는 라면이에요,2025-01-15
94,10,라면은 신라면이 최고지요.,2025-01-15
95,10,잘 포장되어서 배송 받았어요.,2025-01-15
96,10,라면은 신라면이죠 쟁여놓아요,2025-01-15
97,10,국물도 좋고 면발도 내 취향. 늘 만족해요.,2025-01-15
98,10,라면은 역시 신라면. 국물 좋음.,2025-01-14
99,10,배송빠르고 포장상태가 좋습니다,2025-01-14
100,10,저렴한가격에 잘샀어요. 마,2025-01-14
101,10,그냥 내가 제일 좋아하는 라면은 신라면입니다.,2025-01-14
102,10,항상 주문하는 상품이에요.,2025-01-14
103,10,비상식량으로 쟁여놓기 좋아요,2025-01-14
104,10,라면 신라면 좋아해요. 25년7월 유통기한 넉넉해요.,2025-01-13
105,10,맛은 보장되어 있는거죠..말해모해요,2025-01-13
106,10,항상 잘 먹고 있습니다.,2025-01-13
107,10,신라면은 늘 쟁여둬야 안심 돼요,2025-01-13
108,10,필수비상식량입니다. 조금이라도 할인할 때 쟁여두어야 합니다.,2025-01-13
109,10,신라면 맛있어요~^^,2025-01-13
110,10,"만족합니다.
잘 받았어요.",2025-01-13
111,10,자주 구매하는 제품입니다,2025-01-13
112,10,바로 먹고싶어서 주문했어요,2025-01-13
113,10,항상 맛있게 먹고 있는 제품입니다.,2025-01-13
114,10,"배송 감사합니다.!
",2025-01-12
115,10,라면은 신라면이 최고에요.,2025-01-12
116,10,라면중에 제일 좋아하는 신라면 칼칼하니 맛있어요,2025-01-12
117,10,맛있어요 배송도 굿굿,2025-01-12
118,10,싸게 구매했어요. 우리집 라면,2025-01-12
119,10,자주 구매 하는거네요,2025-01-12
120,10,라면은 역쉬 신라면이죠 국물이 진짜 끝내줘요 라면에서 빠질수없죠,2025-01-12
121,10,가족이 다들 찾는 신라면인데 똑 떨어졌었어요~잘 먹겠습니다.,2025-01-11
122,10,원래 먹던거라 재구매해요,2025-01-11
123,10,"빠른 배송 감사합니다
저렴히 구매해 만족합니다",2025-01-11
124,10,좋은 상품 저렴하게 잘 구매했어요,2025-01-11
125,10,신라면은 항상 맛있습니다^^^,2025-01-11
126,10,"유통  7ㆍ2일까지
신라면 말이 필요 없죠  ㅎ",2025-01-11
127,10,항상 애용하는 제품이라 함께구입해요,2025-01-11
128,10,신라면 가족들이 좋아해요~~,2025-01-11
129,10,라면은 신라면이죠.,2025-01-10
130,10,라면은 역시 신라면.. 유통기한 넉넉해서 좋네요,2025-01-10
131,10,얼큰 매콤 라면은 신라면 좋아요 맛나요,2025-01-10
132,10,너무너무 좋아요 너무너무 맛있게 먹어요,2025-01-10
133,10,매운맛이 그리울때 역시 신라면이 최곱니다. 라면 자주 먹진 않아도 먹을땐 신라면 좋아요.,2025-01-10
134,10,이마트 배송 빠르고 편리해요.,2025-01-10
135,10,자주 구매하는 상품이에요,2025-01-10
136,10,라면은 역시 신라면,2025-01-10
137,10,가장 좋아하는 얼큰라면,2025-01-10
138,10,항상 맛있어서 먹는 신라면~~,2025-01-09
139,10,라면은 역시 신라면입니다.,2025-01-09
140,10,신라면 면발도국물맛도 딱좋아요~,2025-01-09
141,10,맛있게 잘 먹었습니다 감사합니다,2025-01-09
142,10,최애 라면~맛있어요!,2025-01-09
143,10,이마트상품 항상 만족해요,2025-01-09
144,10,"집에서 편하게 배달해서 먹으니 좋습니다. 
편리해요.
맛있어요.
저렴해요.
감사합니다.",2025-01-09
145,10,자주 주문했어요 가격이 비싸지만 어쩔수없지요,2025-01-09
146,10,항상 기본은 하는 라면,2025-01-09
147,10,집앞까지 배송해줘서 좋아요,2025-01-09
148,10,라면은 역시 신라면이죠 이미 다 먹어서 다음 장 볼때 또 주문해야겠어요,2025-01-09
149,10,라면중에는 신라면이 제일 맛있는거같아요,2025-01-09
150,10,라면은 신라면이 제일 맛있어요,2025-01-09
151,10,출출할때 끓여 먹는것도 좋지만 요즘들어 뿌셔먹는게 좋규먼유,2025-01-08
152,10,배송도빠르고 문제없이 좋습니다.,2025-01-08
153,10,항상 애용하는 라면입니다,2025-01-08
154,10,편하게 배달받아서 좋아요,2025-01-08
155,10,한동안 신라면 맛이 바뀌어서 안먹다가 다시 먹기 시작~ 맛있음,2025-01-08
156,10,다 아는 맛있는  라면,2025-01-08
157,10,남편이 신라면만 먹어요..,2025-01-07
158,10,언제나 최고의 맛! 맛있어요 항상!,2025-01-07
159,10,신라면은 비상식량입니다,2025-01-07
160,10,신라면이 떨어지기전이라 예비용으로 구매.,2025-01-07
161,10,구매해오던 제품이라 재구매했어요.,2025-01-07
162,10,매콤해서 넘 맛있어요~,2025-01-07
163,10,농심 신라면 말이 필요없죠 아주좋아요 아주,2025-01-07
164,10,부서지지 않게 잘 받았습니다. 세일할때 잘 구매했어요~,2025-01-07
165,10,배송도 빠르고 좋아용,2025-01-06
166,10,"배달 정말 빠르고 친절하고 
오랜만에 먹으니 맛있어요",2025-01-06
167,10,돌고돌아  역시 신라면이 좋습니다ㆍ,2025-01-06
168,10,감사합니다 잘 먹을게요,2025-01-06
169,10,자주 구매합니다. 좋아요,2025-01-06
170,10,가끔씩 라면 먹고 싶을때 찾는 신라면.,2025-01-06
171,10,신라면이 맛있어요. 행사 자주하면 좋겠네요 ,2025-01-06
172,10,예전보단맛이 덜해도 가끔 먹기에 구매함,2025-01-06
